Prov/Muni,NOV-2018,DEC-2018,JAN-2019,FEB-2019,MAR-2019,APR-2019
Lanao Lake,275.32,241.15,159.44,148.13,179.56,169.7
Lumba-Bayabao,279.83,231.62,149.34,144.77,184.42,177.03
Lumbaca Unayan,269.89,214.83,140.12,149.99,197.43,183.28
Lumbatan,265.81,221.64,144.96,140.43,196.3,169.99
Lumbayanague,265.33,218.11,145.36,141.64,195,169.92
Madalum,260.9,206.39,141.65,139.88,200.64,176.23
Madamba,270.59,226.93,147.75,142.32,192.41,173.79
Maguing,282.5,237.47,147.52,144.83,193.08,184.28
Malabang,267.31,203.52,137.03,138.73,202.05,179.71
Marantao,259.57,192.97,138.49,137.13,206.6,181.66
Marawi City,269.09,212.4,143.3,142.8,206.65,184.58
Marogong,291.98,243.59,142.04,147.96,205.49,189.47
Masiu,192.24,160.7,105.74,112.09,151.67,136.51
Mulondo,268.68,178.4,131.68,127.55,209.25,188.92
Pagayawan,264.11,165.95,131.78,126.88,218.49,196.48
Piagapo,261.35,187.3,136.71,135.35,212.62,190.29
Picong,284.44,234.81,141.45,149.85,214.72,192.24
Poona Bayabao,343.03,290.6,138.24,155.87,218.87,192.37
Pualas,259.39,224.45,142.89,146.72,192.21,187.76
Saguiaran,256.13,151.56,128.27,122.02,221.84,202.47
Sultan Dumalondong,300.31,239.65,137.94,148.53,216.7,195.95
Tagoloan II,250.93,190.08,140.01,138.56,210.12,195.89
Tamparan,274.81,177.36,131.92,134.88,216.47,198.42
Taraka,279.83,219.18,136.15,141.68,214.4,199.99
Tubaran,279.13,195.27,131.93,133.83,214.16,200.59
Tugaya,265.67,189.57,131.85,133.79,213.86,201.48
Wao,258.72,192.4,128.84,129.39,206.48,204.64
Leyte,357.35,417.27,384.42,202.24,193.59,146.89
Abuyog,298.21,367.97,306.07,173.93,163.79,103.05
Alangalang,330.42,424.86,340.45,199.02,185.84,118.82
Albuera,360.3,462.4,378.44,230.18,204.91,130.68
Babatngon,316.27,395.79,325.24,185.68,170.08,114.14
Barugo,365.68,454.23,375.28,223.45,198.24,133.3
Bato,352.85,446.91,388.16,248.04,213.06,130.61
Baybay City,334.21,407.54,351.22,206.93,185.52,121.9
Burauen,323.34,391.56,353.46,214.79,181,116.4
Calubian,338.45,416.79,343,201.44,189.8,124.1
Capoocan,325.02,380.92,388.56,239.17,187.38,125.34
Carigara,322.67,387.42,310.03,180.28,174.24,108.59
Dagami,340.9,417.27,343.46,203.12,201.66,129.34
Dulag,348.67,411.83,371.91,229.57,197.87,134.67
Hilongos,307.32,365.24,377.78,233.06,172.12,122.62
Hindang,307.6,361.35,298.56,169.29,165.92,101.23
Inopacan,349.22,413.59,357.46,211.82,196.4,136.6
Isabel,342.72,398.83,392.87,234.27,179.87,135.98
Jaro,332.44,388.2,326.62,187.68,182.73,115.45
Javier,368.31,424.5,383.62,223.34,201.79,142.4
Julita,361.91,428.84,401.98,231.05,186.02,142.55
Kananga,320.47,364.09,316.48,174.34,171.18,112.28
La Paz,374.32,451.62,399.4,219.41,209.79,146.91
Leyte,334.49,382.4,357.34,190.83,176.76,130.34
Macarthur,361.94,405.22,377.43,200.88,203.98,135.88
Mahaplag,374.08,430.29,397.76,206.25,199.91,149.32
Matag-Ob,310.48,338.27,329.35,168.5,166.43,111.84
Matalom,403.35,444.99,427.25,209.98,219.14,172.26
Mayorga,402.16,442.32,425.89,203.84,200.66,173.79
Merida,363.18,400.85,380.8,187.89,198.86,144.56
Ormoc City,441.78,488.86,476.58,205.67,218.67,204.42
Palo,506.51,549.45,558.44,200.18,223.8,270.79
Palompon,474.32,521.57,530,197.41,223.25,250.88
Pastrana,485.79,527.98,534.81,194.46,233.93,266.99
San Isidro,456.02,501.91,506.82,192.99,225.18,241.75
San Miguel,397.48,454.35,443.97,188.58,217.55,197.75
Santa Fe,429.75,486.83,479.7,196.1,226.11,222.68
Tabango,349.17,412.91,409.93,192.7,203.17,166.96
Tabontabon,423.82,510.34,465.57,206.18,253,210.68
Tacloban City,307.68,356.73,351.77,188,178.4,136.49
Tanauan,302,337.52,338.56,185.77,172.39,130.69
Tolosa,279.56,309.71,322.74,183.17,148.86,107.43
Tunga,306.98,366.14,352.15,205.22,182.23,125.75
Villaba,290.42,356.6,348.09,203.34,182.81,108.33
Maguindanao,177.36,125.15,100.43,95.67,123.29,128.64
Ampatuan,175.83,129.64,102.98,100.77,123.3,152.13
Buluan,151.93,122.7,106.12,97.51,119.79,135.48
Buluan Lake,171.39,113.58,101.2,95.95,123.27,137.19
Cotabato City,189.51,132.25,97.99,96.87,118.25,135.65
Datu Abdullah Sanki,176.39,126.04,102.36,96.96,123,137.23
Datu Anggal Midtimbang,188.2,115.66,97.9,94.71,121.6,135.9
Datu Paglas,182.63,141.06,99.27,93.24,115.55,137.67
Datu Piang,195.01,139.83,103.36,99.98,129.6,141.84
Datu Saudi-Ampatuan,199.51,124.49,99.53,99.61,133.57,136.39
Datu Unsay,176.79,131.19,97.94,90.38,115.95,131.6
Gen. S. K. Pendatun,184.56,141.53,103.1,97.35,119.91,135.75
Guindulungan,213.56,134.31,103.59,104.92,151.9,149.35
Mamasapano,190.47,117.86,99.36,98.77,137.22,135.7
Mangudadatu,168.59,104.13,96.25,88.57,118.66,127.76
Pagagawan,159.1,112.26,97.5,90.31,113.09,124.74
Pagalungan,194.11,131.27,101.5,99.02,134.84,136.53
Paglat,141.66,93.23,95.77,88.56,112.11,120.46
Pandag,163.9,108.56,101.2,96.8,115.42,120.97
Rajah Buayan,217.12,140.93,104.26,107.42,152.65,143.55
Shariff Aguak,132.48,94.03,95.72,87,113.86,109.87
South Upi,169.44,116.16,101.65,94.67,125.46,116.04
Sultan Sa Barongis,140.22,108.95,96.71,85.91,106.92,87.3
Talayan,159.99,136.67,100.91,89.64,108.09,84.39
Talitay,162.01,138.84,97.26,89.31,107.83,80.78
Marinduque,250.96,237.36,89.83,58.3,63.42,46.28
Boac,295.08,279.64,99.01,70.84,72.03,54.03
Buenavista,269.39,247.87,99.03,68.84,75.75,49.21
Gasan,252.07,230.44,98.33,67.27,74.93,49.48
Mogpog,274.55,264.4,96.55,67.9,69.53,54.39
Santa Cruz,249.09,242.03,98.32,62.37,69.45,51.47
Torrijos,193.46,182.07,59.57,27.41,32.92,26.71
Masbate,249.04,265.35,189.24,101.96,100.81,63.5
Aroroy,257.23,245.99,151.9,101.68,79.26,64.25
Baleno,262.31,263.91,170.12,107.63,87.04,64.69
Balud,288.62,310.04,223.27,128.21,107.06,78.8
Batuan,277.42,289.83,211.96,116.83,96.71,71.53
Cataingan,271.99,295.57,220.69,119.64,102.25,71.75
Cawayan,253.34,266.55,198.51,105.2,96.33,65.17
Claveria,238.3,262.64,189.15,97.86,94.33,58.84
Dimasalang,219.24,249.63,189.05,88.41,94.89,50.6
Esperanza,242.89,272.06,188.46,102.16,96.15,57.48
Mandaon,258.4,278.68,188.36,97.72,100.87,52.25
Masbate City,260.01,289.95,205.06,100.97,113.95,59
Milagros,246.15,270.2,181.5,94.58,104.32,57.23
Mobo,241.9,268.42,182.84,90.87,123.98,72.09
Monreal,244.31,255.29,176.11,93.53,97.86,57.8
Palanas,243.14,261.17,178.84,90.44,112.23,71.43
Pio V. Corpuz,220.03,245.67,179.29,92.83,101.04,66.21
Placer,234.22,244.27,186.11,95.35,106.06,67.46
San Fernando,268.9,265.66,188.5,100.44,101.78,64.65
San Jacinto,239.61,245.6,209,108.49,116.15,70.79
San Pascual,242.37,252.36,200.18,109.85,112.08,69.56
Uson,196.69,228.98,182.55,93.28,88.73,47.17
Metropolitan Manila,153.46,95.53,17.18,9.54,16.49,22.63
Kalookan City,182.21,101.22,22.27,15.19,27.92,33.36
Las Pinas,191.41,104.71,21.7,15.67,28.7,32.39
Makati City,169.58,87.88,19.05,12.11,24.08,28.57
Malabon,136.68,71.29,15.29,7.73,17.09,22.92
Mandaluyong,134.94,76.58,17.7,10.42,21.03,23.54
Manila,173.72,113.64,24.81,13.74,25.11,31.91
Marikina,127.3,72.53,17.17,7.37,15.99,25.25
Muntinlupa,92.62,66.25,17.26,8.07,15.35,19.73
Navotas,109.56,87.8,22.69,11.53,21.24,26.39
Paranaque,118.16,64.56,9.41,3.36,6.78,12.66
Pasay City,95.29,59.44,13.93,5.21,10.35,15.39
Pasig City,137.43,86.23,17.19,8.61,13.63,20.63
Pateros,190.42,106.74,9.81,5.07,8.45,14.08
Quezon City,172.02,112.59,13.12,7.17,9.7,17.69
San Juan,218.74,144.73,12.11,6.79,9.16,15.94
Taguig,165.9,114.32,12.82,7.17,8.06,16
Valenzuela,191.3,139.36,19.14,11.09,11.31,19.18
Misamis Occidental,354.61,306.51,212.24,140.64,159.45,94.79
Aloran,320.3,221.34,144.1,86.92,93.49,69.49
Baliangao,323.52,233.08,145.66,91.71,105.64,74.75
Bonifacio,313.01,227.23,148.38,93.75,103.71,71.12
Calamba,323.71,235.11,152.17,98.36,113.9,73.39
Clarin,346.79,270.03,160.09,111.54,133.43,89.69
Concepcion,325.74,248.46,162.26,104.35,116.68,72.01
Don Victoriano Chiongbian,342.67,290.81,173.94,124.96,147.89,90.97
Jimenez,343.11,297.16,200.86,132.68,155.97,87.27
Lopez Jaena,355.23,321.85,203.19,146.79,171.69,95.37
Oroquieta City,366.05,330.08,227.34,151.68,172.3,95.35
Ozamis City,385.08,357.2,255.99,169.68,190.17,104.86
Panaon,408.33,372.96,311.35,185.03,203.58,98.01
Plaridel,368.24,350.45,234.96,167.6,189.58,115.8
Sapang Dalaga,407.79,380.55,308.49,189.64,213.86,105.52
Sinacaban,383.36,362.37,275.34,177.13,195.68,112.66
Tangub City,377.67,358.79,274.54,181.71,202.06,114.62
Tudela,326.78,312.2,230.99,159.14,173.83,122.16
Misamis Oriental,226.09,252.91,215.08,163.82,171.54,106.3
Alubijid,250.39,320.8,316.64,219.55,189.2,112.49
Balingasag,259.43,321.24,296.36,210.09,200.02,112.8
Balingoan,243.7,310.45,257.98,181.57,186.01,99.69
Binuangan,254.09,331.62,276.41,198.92,204.49,113.08
Cagayan de Oro City,290.97,368.34,305.4,236.24,237.51,139.2
Claveria,285.66,352.16,281.03,225.89,235.78,137.73
El Salvador City,325.62,392.98,319.97,259.78,271.65,170.24
Gingoog City,244.05,282.36,239.09,186.74,198.79,120.33
Gitagum,309.77,376.48,293.8,241.98,268.06,160.68
Initao,181.15,177.17,167.74,118.36,122.78,85.02
Jasaan,154.98,125.83,128.98,83.35,83.4,58.66
Kinoguitan,169.11,173.09,162.64,113.79,124.25,76.24
Lagonglong,214.34,249.57,202.5,161.99,185.16,106.7
Laguindingan,304.16,365.44,289.55,231.54,254.39,155.67
Libertad,148.62,133.59,123.28,84.82,90.08,64.07
Lugait,143.07,125.86,123,83.48,86.68,60.79
Magsaysay,139.04,114.33,140,90.47,88.11,56.5
Manticao,171.62,158.88,133.17,98.15,110.7,74.05
Medina,129.21,112.99,120.83,83.76,87.23,59.53
Naawan,155.66,140.06,144.83,100.75,114.05,68.56
Opol,173.24,154.75,121.92,95.48,109.16,76.24
Salay,153.5,138.2,129.25,91.33,105.17,71.55
Sugbongcogon,198.71,176.75,124.02,102.8,122.49,85.19
Tagoloan,166.62,139.88,127.91,95.75,104.01,83.29
Talisayan,207.14,182.43,123.24,98.41,117.22,90.53
Villanueva,188.88,161.57,124.17,103.37,124.51,104.71
Mountain Province,201.8,95.29,25.39,30.05,58.52,104.65
Barlig,236.59,122,27.01,30.26,50.72,86.76
Bauko,232.88,116.04,26.65,27.49,50.5,90.82
Besao,190.61,88.15,23.43,30.43,55.22,105.64
Bontoc,198.08,99.26,26.69,29.06,54.03,95.05
Natonin,198.9,94.95,27.27,28.19,54.44,94.77
Paracelis,214.02,103.05,29.53,32.94,63.08,104.34
Sabangan,192.77,81.37,19.91,30.09,65.2,117.72
Sadanga,173.65,78.73,23.03,30.16,64.04,114.39
Sagada,141.9,53.43,17.3,25.74,58.57,120.35
Tadian,191.91,78.04,21.18,34.57,73.01,143.94
Negros Occidental,218.43,173.08,105.43,78.4,85.01,76.27
Bacolod City,259.88,222.94,150.29,108.15,86.48,58.51
Bago City,265.81,242.57,141.65,102.84,93.16,71.75
Binalbagan,244.74,221.95,138.86,97.2,92.09,71.06
Cadiz City,255.29,235.01,136.15,98.7,101.4,75.95
Calatrava,257.4,215.2,131.68,97.47,107.38,74.58
Candoni,253.69,242.49,124.03,98.65,116.75,84.5
Cauayan,243.21,208.93,123.69,95.98,105.88,76.79
Enrique B. Magalona,227.66,208.29,119.87,94.89,118.72,80.91
Escalante City,236.15,203.8,115.28,88.68,94.91,71.99
Himamaylan City,229.51,196.28,106.79,83.95,89.5,72.02
Hinigaran,222.63,186.54,113.52,91.25,97.17,76.29
Hinoba-An,215.08,173.05,104.96,83.29,86.01,74.2
Ilog,215.07,165.13,102.96,77.05,80.81,77.68
Isabela,214.84,138.04,84.43,65.36,61.72,91.91
Kabankalan City,208.94,158.15,91.41,70.82,78.45,91.54
La Carlota City,190.93,136.87,87.65,61,66.97,101.08
La Castellana,187.38,130.65,83.22,55.98,62.57,96.37
Manapla,189.57,132.11,77.07,53.08,60.2,84.65
Moises Padilla,185.81,128.08,82.74,56.21,68.23,83.83
Murcia,188.87,140.94,84.64,60.15,74.88,76.51
Pontevedra,195.38,134.91,82.11,61.96,74.12,69.6
Pulupandan,190.38,127.84,80.99,62.84,74.27,68.53
Sagay City,194.25,134.49,85.76,63.18,76.59,66.48
Salvador Benedicto,192.45,133.36,89.24,66.86,79.49,67.41
San Carlos City,198.88,141.95,88.25,66.51,74.94,70.53
San Enrique,209.03,133.65,87.53,65.72,72.78,70.44
Silay City,203.62,140.16,91.2,69.66,77.22,73.46
Sipalay City,198.89,139.84,92.34,68.64,76.62,75.25
Talisay City,201.65,139.49,93.76,68.23,77.42,71.84
Toboso,204.4,135.71,95.08,67.67,74.3,69.25
Valladolid,203.51,134.06,95.43,63.6,74.14,66.17
Victorias City,188.3,139.03,96.2,60.31,71.71,63.59
Negros Oriental,182.47,147.22,111.52,68.03,92.13,64.59
Amlan,197.28,155.7,104.9,80.44,88.33,80.04
Ayungon,190.32,149.74,109.85,80.92,80.82,69.07
Bacong,195.04,151.71,109.32,78.48,82.03,68.59
Bais City,192.12,157.25,103.92,70.16,84.79,73.24
Basay,195.86,159.59,102.28,70.29,92.59,72.93
Bayawan City,196.76,153.85,102.67,72.44,93.67,72.06
Bindoy,193.85,151.3,103.77,72.73,97.45,75.1
Canlaon City,186.55,141.78,106.44,73.01,97.09,75.19
Dauin,192.13,147.23,109.53,73.38,97.36,70.38
Dumaguete City,180.53,141.06,110.81,70.39,92.08,73.98
Guihulngan City,188.6,143.33,114.4,71.38,100.04,70.93
Jimalalud,174.58,144.09,111.93,69.38,91.36,67.84
La Libertad,184.56,149.61,120.54,67.88,96.6,67.8
Mabinay,181.67,149.36,122.24,66.89,94.86,66.47
Manjuyod,169.86,152.49,139.58,69.28,98.25,69.67
Pamplona,181.89,150.59,122.73,65.71,91.15,63.07
San Jose,170.09,157.93,151.66,71.22,104.3,72.96
Santa Catalina,173.37,153.95,126.08,67.52,100.67,63
Siaton,163.01,148.02,115.25,66.15,96.21,60.21
Sibulan,169.93,144.01,104.82,64.04,97.99,53.94
Tanjay City,176.63,142.81,101.32,62.65,93.01,50.27
Tayasan,180.74,138.21,100.5,60.78,83.74,49.15
Valencia,183.39,138.64,107.9,62.53,89.23,51.34
Vallehermoso,195.19,136.8,112.59,62.12,83.54,53.27
Zamboanguita,149.16,95.45,76.78,35.38,44.06,23.89
North Cotabato,194.42,170.34,132.46,123.86,152.99,159.72
Alamada,256.72,231.38,142,151.42,203.49,190.64
Aleosan,224.61,204.47,147.56,150.36,196.43,185.02
Antipas,225.13,196.91,150.64,147.9,188.91,189.77
Arakan,212.68,182.36,145,141.9,181.28,183.1
Banisilan,202.44,173.45,143.9,138.09,175.07,181.56
Carmen,189.53,161.1,138.82,126.68,162.94,172.4
Kabacan,177.61,162.11,143.28,125.04,159.55,166.68
Kidapawan City,177.7,141.23,120.38,121.18,146.74,161.14
Libungan,184.32,168.43,138.86,123.53,158.74,160.98
Magpet,174.15,148.55,122.03,114,144.37,154.35
Makilala,196.07,176.78,126.86,119.19,146.41,152.64
Matalam,164.54,151.29,123.69,108.98,134.09,147.15
Midsayap,159.59,150.79,122.82,109.48,130.04,141.98
M'Lang,171.18,148.27,114.33,102.79,120.24,139.32
Pigkawayan,203.31,186.83,131.48,115.88,128.32,145.09
Pikit,182.82,162.01,125.08,110.38,116.49,137.41
President Roxas,195.93,164.5,124.8,110.44,122.97,134.61
Tulunan,167.82,138.67,120.89,101.98,112.58,115.04
Northern Samar,463.8,574.37,429.1,245.17,274.12,148.9
Allen,332.71,395.25,310.56,209.31,177.1,96.92
Biri,438.21,530.74,408.81,253.1,221.61,135.34
Bobon,463.57,571.11,415.42,247.53,253.37,141.27
Capul,513.54,662.08,490.18,322.71,342.67,96.56
Catarman,456.44,547.15,417.01,242.02,244.48,154.79
Catubig,497.57,636.52,485.09,282.53,325.88,121.22
Gamay,445.23,528.88,388.01,228.89,229.73,136.84
Laoang,440.92,528.84,397.38,218.34,241.48,162.52
Lapinig,477.31,575.59,488.17,250.28,276.63,169.5
Las Navas,503.06,624.6,475.91,271.53,334.33,112.4
Lavezares,436.37,525.19,376.16,219.54,227.67,140.32
Lope de Vega,455.17,569.22,440.17,233.66,265.57,183.53
Mapanas,501.66,632.36,477.82,257.08,322.17,149.43
Mondragon,458.32,552.65,410.97,235.62,256.02,139.49
Palapag,469.31,589.93,446.29,243.75,277.66,182.52
Pambujan,495.1,642.55,461.63,256.02,323.22,144.52
Rosario,487.29,595.12,453.47,261.41,290.51,146.91
San Antonio,384.81,460.16,354.49,200.04,203.01,134.24
San Isidro,453.14,575.68,418.69,232.56,266.55,176.9
San Jose,476.75,618.02,447.58,248.94,304.07,154.86
San Roque,485.55,591.14,447.78,260.5,285.35,151.53
San Vicente,410.71,506.28,344.65,195.88,220,148.83
Silvino Lobos,466.48,584.37,429.33,248.59,286.32,166.28
Victoria,460.45,573.15,416.64,240.4,290.25,178.28
Nueva Ecija,153.63,79.85,28.22,21.77,39.15,57.05
Aliaga,195.48,121.8,32.19,30.57,62.66,104.42
Bongabon,187.96,118.04,34.71,29.89,60.41,90.5
Cabanatuan City,163.49,102.35,33.31,25.04,49.48,71.35
Cabiao,143.38,95.94,27.7,19.71,39.85,62.66
Carranglan,111.72,66.96,20.83,15.93,34.2,56.79
Cuyapo,153.05,98.95,35.17,27.99,47.42,59.2
Gabaldon,49.37,17.31,8.25,7.44,20.29,41.68
Gapan City,187.8,108.31,41.25,32.67,50.83,61.07
General Mamerto Natividad,126.28,55.77,25.15,19.8,36.17,56.44
General Tinio,121.03,58.51,22.41,19.06,34.03,48.48
Guimba,149.84,77.47,32.51,26.95,42.3,60.63
Jaen,224.9,116.45,49.88,34.98,54.09,76.51
Laur,92.56,30.95,13.63,11.66,24.17,46.17
Licab,175.65,97.13,37.67,29.15,43.46,63.36
Llanera,280.59,158.61,52.71,40.82,57.17,73.21
Lupao,136.44,48,21.87,17.2,31.18,58.23
Munoz City,92.48,36.69,10.47,8.34,18.8,39.93
Nampicuan,150.46,77.04,29.37,22.53,36.89,54.36
Palayan City,261.28,134.59,52.13,39.44,58.26,71.45
Pantabangan,133.25,60.6,20.09,14.78,28.32,42
Penaranda,163.78,60.72,26.12,21.35,37.04,54.31
Quezon,108.87,42.91,10.03,7.09,19.07,28.49
Rizal,197.24,107.96,39.71,28.06,46.49,53.77
San Antonio,227.7,101.92,42.84,31.04,52.79,64.62
San Isidro,106.67,41.58,13.01,10.23,22.51,35.34
San Jose City,210.26,105.77,40.3,29.16,48.87,57.04
San Leonardo,91.1,28.95,9.05,7.38,18.4,40.52
Santa Rosa,159.44,88.15,28.13,20.56,34.21,49.25
Santo Domingo,166.38,76.93,26.1,18.98,36.34,54.9
Talavera,154.75,81.1,26.89,19.8,32.83,49.3
Talugtug,181.28,94.77,30.78,21.97,39.72,57.66
Zaragoza,267.51,149.07,51.11,35.49,61.71,74.77
Nueva Vizcaya,202.27,130.78,44.05,42.9,76.85,113.3
Alfonso Castaneda,195.19,150.03,38.12,46.6,78.35,109.58
Ambaguio,178.26,132.42,34.22,41.75,74.74,117.71
Aritao,183.58,130.03,37.05,40.38,74.21,114.6
Bagabag,194.85,131.18,39.56,41.94,72.22,120.94
Bambang,184.69,123.51,38.81,37.49,68.74,118.42
Bayombong,186.26,130.59,42.31,33.97,68.92,115.02
Diadi,199.94,136.94,43.13,43.57,78.34,119.59
Dupax Del Norte,176.72,114.17,37.99,38.2,73.65,116.09
Dupax Del Sur,163.5,106.9,38.01,36.93,71.09,113.07
Kasibu,171.14,108.45,35.52,35.32,68.49,113.2
Kayapa,205.53,122.69,42.87,41.62,74.65,113.14
Quezon,260.7,147.6,57.54,51.43,91.35,112.96
Santa Fe,273.06,151.83,65.11,52.07,89.86,102.01
Solano,316.42,180.52,83.61,70.61,106.77,108.68
Villaverde,293.48,164.18,77.68,60.8,90.67,97.43
Occidental Mindoro,174.81,105.37,36.53,19.53,23.7,52.75
Abra de Ilog,110.68,67.38,11.36,6.68,2.99,18.69
Calintaan,146.02,109.42,21.88,4.63,7.88,32.4
Looc,170.12,128.56,25.92,6.64,14.47,40.18
Lubang,159.31,118.64,25,4.86,14.73,43.64
Magsaysay,164.5,130.01,28.71,11.03,19.25,50.85
Mamburao,173.11,126.87,26.92,10.39,19.38,49.78
Paluan,187.55,127.39,45.65,21.12,40.44,72.02
Rizal,193.98,111.23,52.63,30.23,42.4,75.89
Sablayan,183.48,96.36,51.35,27,36.6,69.12
San Jose,167.23,92.41,32.15,24.33,13.46,43.11
Santa Cruz,208.57,102.88,27.26,24.97,6.92,32.96
Oriental Mindoro,220.87,136.39,69.63,39.82,52.12,68.22
Baco,217.72,158.71,58.33,25.03,48.43,65.29
Bansud,224.52,168.36,78.94,46.43,68.09,81.2
Bongabong,207.94,136.97,73.83,34.75,64.51,80.42
Bulalacao,224.87,157.9,81.57,45.71,76.16,84.78
Calapan City,236.35,171.21,77.88,46.28,71,81.28
Gloria,263.08,178.75,77.71,49.54,65.01,72.88
Mansalay,248.16,149.46,78.56,50.18,61.84,70.31
Naujan,228.68,116.31,77.56,49.6,60.42,72.1
Naujan Lake,223.96,109.61,79.69,49.46,61.05,74.71
Pinamalayan,216.74,106.88,75.23,40.67,56.95,77.09
Pola,206.59,110.12,69.7,40.34,44.86,65.3
Puerto Galera,201.7,101.21,61.18,36.02,37.84,61.18
Roxas,206.57,99.19,60.62,38.69,31.89,55.55
San Teodoro,203.99,118.52,52.79,30.32,22.54,49.89
Socorro,196.23,117.79,47.46,22.39,14.22,41.96
Victoria,205.89,140.79,44.22,22.93,10.51,31.05
Palawan,208.29,171.54,49.31,12.68,22.97,45.92
Aborlan,136.14,89.08,17.19,7.69,5.8,25.87
Agutaya,151.61,103.45,19.66,7.74,5.61,26.49
Araceli,149.35,103.12,23.74,8.63,7.71,29.66
Balabac,179.63,110.36,25.13,11.87,9.76,33.27
Bataraza,169.99,134.21,16.4,-0.51,2.56,18.3
Brooke's Point,150.45,124.09,21.78,3.26,7.25,26.12
Busuanga,189,148.37,27.87,8.14,14.75,34.46
Cagayancillo,179.03,146.9,24.54,7.52,14.49,30.9
Coron,171.35,130.48,24.65,9.1,16.63,37.55
Culion,190.17,143.35,24.7,9.46,20.86,46.52
Cuyo,186.15,152.01,24.12,9.42,20.84,45.44
Dumaran,219.16,175.72,18.83,1.81,18.71,47.17
El Nido,234.99,189.55,27.96,9.79,28.32,54.77
Linapacan,235.94,198.67,27.65,8.05,28.43,52.82
Magsaysay,221.96,177.71,12.12,-7.89,15.67,36.1
Narra,234.95,192.34,32.8,7.47,28.46,58.8
Puerto Princesa City,233.19,176.35,36.84,8.22,25.72,50.59
Quezon,236.89,183.57,46.62,14.33,29.14,56.82
Rizal,230.44,174.2,52.24,18.19,39.71,58.79
Roxas,235.72,192.49,56.88,17.44,35.87,61.17
San Vicente,234.05,225.67,64.93,16.85,27.51,58.94
Sofronio Espanola,238.55,237.56,81.78,13.3,19.83,52.89
Taytay,228.85,245.31,180.24,40.25,39.1,52.29
Pampanga,103.21,47.1,8.66,8.89,18.41,36.53
Angeles City,72.24,25.95,6.68,7.91,20.82,43.74
Apalit,69.82,29.4,7.61,6.65,19.7,42.52
Arayat,100.19,45.31,7.88,8.78,23.67,43.3
Bacolor,91.05,44.43,7.12,9.69,22.59,39.06
Candaba,108.54,50.09,8.86,9.85,23.61,44.04
Floridablanca,58.8,23.72,5.9,8.51,20.69,35.41
Guagua,90.16,40.32,10.24,9.93,17.85,40.92
Lubao,106.64,53.72,10.46,11.6,22.82,43.7
Mabalacat,95.6,54.54,10.53,11.47,21.05,39.82
Macabebe,78.51,36.56,5.43,9.33,18.78,34.8
Magalang,89.36,26.06,9.78,7.37,17.21,33.07
Masantol,107.05,51.9,12.41,10.91,21,40.01
Mexico,99.03,43.11,9,10.97,18.18,33.43
Minalin,109.27,34.18,8.16,5.45,13.46,28.61
Porac,119.74,60.72,14.46,11.59,20.66,38.16
San Fernando City,110.82,44.2,5.39,5.6,10.48,26.94
San Luis,121.54,56.84,9.18,7.29,14.62,29.8
San Simon,123.26,59.57,5.41,6.32,9.75,26.45
Santa Ana,150.79,71.85,5.14,5.11,9.14,25.25
Santa Rita,139.29,65.56,5.61,5.85,9.52,25.79
Santo Tomas,153.65,72.32,4.52,4.3,5.26,22.03
Sasmuan,146.9,61.56,4.53,4.36,5.22,23.27
Pangasinan,53.14,22.91,4.25,4.24,22.76,53.39
